id,Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
0,Male,24.443011,1.699998,81.66995,yes,yes,2.0,2.983297,Sometimes,no,2.763573,no,0.0,0.976473,Sometimes,Public_Transportation,Overweight_Level_II
1,Female,18.0,1.56,57.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,1.0,1.0,no,Automobile,Normal_Weight
2,Female,18.0,1.71146,50.165754,yes,yes,1.880534,1.411685,Sometimes,no,1.910378,no,0.866045,1.673584,no,Public_Transportation,Insufficient_Weight
3,Female,20.952737,1.71073,131.274851,yes,yes,3.0,3.0,Sometimes,no,1.674061,no,1.467863,0.780199,Sometimes,Public_Transportation,Obesity_Type_III
4,Male,31.641081,1.914186,93.798055,yes,yes,2.679664,1.971472,Sometimes,no,1.979848,no,1.967973,0.931721,Sometimes,Public_Transportation,Overweight_Level_II
5,Male,18.128249,1.748524,51.552595,yes,yes,2.919751,3.0,Sometimes,no,2.13755,no,1.930033,1.0,Sometimes,Public_Transportation,Insufficient_Weight
6,Male,29.883021,1.754711,112.725005,yes,yes,1.99124,3.0,Sometimes,no,2.0,no,0.0,0.696948,Sometimes,Automobile,Obesity_Type_II
7,Male,29.891473,1.75015,118.206565,yes,yes,1.397468,3.0,Sometimes,no,2.0,no,0.598655,0.0,Sometimes,Automobile,Obesity_Type_II
8,Male,17.0,1.7,70.0,no,yes,2.0,3.0,Sometimes,no,3.0,yes,1.0,1.0,no,Public_Transportation,Overweight_Level_I
9,Female,26.0,1.638836,111.275646,yes,yes,3.0,3.0,Sometimes,no,2.632253,no,0.0,0.218645,Sometimes,Public_Transportation,Obesity_Type_III
10,Female,20.0,1.65,65.0,yes,yes,3.0,3.0,Sometimes,no,3.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
11,Male,22.0,1.7,70.0,yes,no,2.0,3.0,no,no,2.0,no,2.0,1.0,no,Walking,Normal_Weight
12,Male,18.0,1.811189,108.251044,yes,yes,2.0,2.164839,Sometimes,no,2.530157,no,1.0,0.553311,no,Public_Transportation,Obesity_Type_I
13,Female,21.412538,1.729045,131.529267,yes,yes,3.0,3.0,Sometimes,no,1.959531,no,1.425712,0.947884,Sometimes,Public_Transportation,Obesity_Type_III
14,Female,20.0,1.57,49.0,no,no,2.0,1.0,Sometimes,no,1.0,no,3.0,2.0,no,Walking,Normal_Weight
15,Male,28.377958,1.706525,102.592171,yes,yes,2.636719,3.0,Sometimes,no,1.0,no,1.995582,0.930836,Sometimes,Public_Transportation,Obesity_Type_II
16,Female,34.0,1.7,80.0,yes,no,3.0,3.0,Always,no,2.0,no,0.0,0.0,no,Automobile,Overweight_Level_II
17,Female,18.0,1.56,50.0,no,yes,3.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
18,Male,22.0,1.7,80.0,yes,yes,1.0,3.0,Sometimes,no,2.0,no,0.0,1.0,no,Public_Transportation,Overweight_Level_II
19,Male,25.492855,1.771817,114.470482,yes,yes,1.392665,3.0,Sometimes,no,1.238057,no,1.097905,0.619012,Sometimes,Public_Transportation,Obesity_Type_II
20,Female,22.0,1.67,80.0,yes,yes,2.0,1.0,Sometimes,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
21,Female,19.0,1.65,64.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
22,Female,25.918524,1.663341,112.57922,yes,yes,3.0,3.0,Sometimes,no,2.724099,no,0.0,0.081156,Sometimes,Public_Transportation,Obesity_Type_III
